x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
80.142,150.825,7.450,797.992
80.869,150.825,7.450,798.015
80.869,157.897,7.450,798.237
80.142,157.897,7.450,798.260
80.142,166.897,7.450,798.542
75.558,166.897,7.450,798.685
75.558,157.897,7.450,798.968
74.831,157.897,7.450,798.990
74.831,150.825,7.450,799.212
75.558,150.825,7.450,799.235
75.558,135.825,7.450,799.705
80.142,135.825,7.450,799.849
80.142,150.765,7.450,800.317
80.519,150.448,7.450,800.317
81.246,150.448,7.450,800.340
81.246,158.274,7.450,800.586
80.519,158.274,7.450,800.608
80.519,167.274,7.450,800.891
75.181,167.274,7.450,801.058
75.181,158.274,7.450,801.340
74.454,158.274,7.450,801.363
74.454,150.448,7.450,801.608
75.181,150.448,7.450,801.631
75.181,135.448,7.450,802.101
80.519,135.448,7.450,802.269
80.519,150.388,7.450,802.737
80.896,150.071,7.450,802.737
81.623,150.071,7.450,802.760
81.623,158.651,7.450,803.029
80.896,158.651,7.450,803.052
80.896,167.651,7.450,803.334
74.804,167.651,7.450,803.525
74.804,158.651,7.450,803.807
74.077,158.651,7.450,803.830
74.077,150.071,7.450,804.099
74.804,150.071,7.450,804.122
74.804,135.071,7.450,804.592
80.896,135.071,7.450,804.783
80.896,150.011,7.450,805.252
80.948,150.467,7.450,805.252
78.805,136.390,7.450,805.252
79.407,136.993,7.450,805.279
79.407,137.533,7.450,805.296
78.434,136.560,7.450,805.339
77.895,136.560,7.450,805.357
79.407,138.073,7.450,805.424
79.407,138.612,7.450,805.442
77.355,136.560,7.450,805.534
76.815,136.560,7.450,805.551
79.407,139.152,7.450,805.667
79.407,139.692,7.450,805.684
76.293,136.578,7.450,805.824
76.293,137.118,7.450,805.841
79.407,140.232,7.450,805.981
79.407,140.772,7.450,805.998
76.293,137.658,7.450,806.138
76.293,138.197,7.450,806.155
79.407,141.311,7.450,806.295
79.407,141.851,7.450,806.312
76.293,138.737,7.450,806.452
76.293,139.277,7.450,806.469
79.407,142.391,7.450,806.609
79.407,142.931,7.450,806.626
76.293,139.817,7.450,806.766
76.293,140.357,7.450,806.783
79.407,143.471,7.450,806.922
79.407,144.011,7.450,806.940
76.293,140.897,7.450,807.079
76.293,141.436,7.450,807.096
79.407,144.550,7.450,807.236
79.407,145.090,7.450,807.253
76.293,141.976,7.450,807.393
76.293,142.516,7.450,807.410
79.407,145.630,7.450,807.550
79.407,146.170,7.450,807.567
76.293,143.056,7.450,807.707
76.293,143.596,7.450,807.724
79.407,146.710,7.450,807.864
79.407,147.250,7.450,807.881
76.293,144.136,7.450,808.021
76.293,144.675,7.450,808.038
79.407,147.789,7.450,808.178
79.407,148.329,7.450,808.195
76.293,145.215,7.450,808.335
76.293,145.755,7.450,808.352
79.407,148.869,7.450,808.492
79.407,149.409,7.450,808.509
76.293,146.295,7.450,808.648
76.293,146.835,7.450,808.666
79.407,149.949,7.450,808.805
79.407,150.489,7.450,808.822
76.293,147.375,7.450,808.962
76.293,147.914,7.450,808.979
79.407,151.028,7.450,809.119
79.407,151.560,7.450,809.136
79.939,151.560,7.450,809.153
80.134,151.755,7.450,809.162
80.134,152.295,7.450,809.179
76.293,148.454,7.450,809.351
76.293,148.994,7.450,809.368
80.134,152.835,7.450,809.541
80.134,153.374,7.450,809.558
76.293,149.534,7.450,809.730
76.293,150.074,7.450,809.747
80.134,153.914,7.450,809.920
80.134,154.454,7.450,809.937
76.293,150.613,7.450,810.109
76.293,151.153,7.450,810.126
80.134,154.994,7.450,810.299
80.134,155.534,7.450,810.316
76.160,151.560,7.450,810.494
75.620,151.560,7.450,810.511
80.134,156.073,7.450,810.714
80.134,156.613,7.450,810.731
75.566,152.046,7.450,810.936
75.566,152.586,7.450,810.953
80.134,157.161,7.450,811.158
79.602,157.161,7.450,811.175
75.566,153.126,7.450,811.356
75.566,153.666,7.450,811.374
79.407,157.506,7.450,811.546
79.407,158.046,7.450,811.563
75.566,154.206,7.450,811.735
75.566,154.745,7.450,811.753
79.407,158.586,7.450,811.925
79.407,159.126,7.450,811.942
75.566,155.285,7.450,812.115
75.566,155.825,7.450,812.132
79.407,159.666,7.450,812.304
79.407,160.205,7.450,812.321
75.566,156.365,7.450,812.494
75.566,156.905,7.450,812.511
75.823,157.161,7.450,812.522
76.293,157.161,7.450,812.537
76.293,157.631,7.450,812.552
79.407,160.745,7.450,812.692
79.407,161.285,7.450,812.709
76.293,158.171,7.450,812.849
76.293,158.711,7.450,812.866
79.407,161.825,7.450,813.006
79.407,162.365,7.450,813.023
76.293,159.251,7.450,813.163
76.293,159.791,7.450,813.180
79.407,162.905,7.450,813.319
79.407,163.444,7.450,813.337
76.293,160.330,7.450,813.476
76.293,160.870,7.450,813.494
79.407,163.984,7.450,813.633
79.407,164.524,7.450,813.650
76.293,161.410,7.450,813.790
76.293,161.950,7.450,813.807
79.407,165.064,7.450,813.947
79.407,165.604,7.450,813.964
76.293,162.490,7.450,814.104
76.293,163.029,7.450,814.121
79.407,166.161,7.450,814.261
78.885,166.161,7.450,814.278
76.293,163.569,7.450,814.394
76.293,164.109,7.450,814.411
78.345,166.161,7.450,814.503
77.805,166.161,7.450,814.521
76.293,164.649,7.450,814.588
76.293,165.189,7.450,814.606
77.265,166.161,7.450,814.649
76.726,166.161,7.450,814.666
76.123,165.559,7.450,814.693
76.123,165.559,7.450,811.193
76.726,166.161,7.450,810.789
77.265,166.161,7.450,810.532
76.293,165.189,7.450,809.879
76.293,164.956,7.450,809.768
76.293,164.956,7.450,809.693
76.293,164.956,7.650,809.693
79.650,151.202,7.650,809.693
79.650,151.202,7.650,814.693
80.332,151.202,7.650,814.715
80.332,157.519,7.650,814.913
79.650,157.519,7.650,814.934
79.650,166.519,7.650,815.216
76.050,166.519,7.650,815.329
76.050,157.519,7.650,815.612
75.368,157.519,7.650,815.633
75.368,151.202,7.650,815.831
76.050,151.202,7.650,815.852
76.050,136.202,7.650,816.323
79.650,136.202,7.650,816.436
79.650,151.142,7.650,816.904
80.027,150.825,7.650,816.904
80.709,150.825,7.650,816.925
80.709,157.897,7.650,817.147
80.027,157.897,7.650,817.169
80.027,166.897,7.650,817.451
75.673,166.897,7.650,817.587
75.673,157.897,7.650,817.869
74.991,157.897,7.650,817.891
74.991,150.825,7.650,818.113
75.673,150.825,7.650,818.134
75.673,135.825,7.650,818.604
80.027,135.825,7.650,818.741
80.027,150.765,7.650,819.209
80.404,150.448,7.650,819.209
81.086,150.448,7.650,819.231
81.086,158.274,7.650,819.476
80.404,158.274,7.650,819.497
80.404,167.274,7.650,819.779
75.296,167.274,7.650,819.940
75.296,158.274,7.650,820.222
74.614,158.274,7.650,820.243
74.614,150.448,7.650,820.489
75.296,150.448,7.650,820.510
75.296,135.448,7.650,820.980
80.404,135.448,7.650,821.140
80.404,150.388,7.650,821.609
80.781,150.071,7.650,821.609
81.463,150.071,7.650,821.630
81.463,158.651,7.650,821.899
80.781,158.651,7.650,821.921
80.781,167.651,7.650,822.203
74.919,167.651,7.650,822.387
74.919,158.651,7.650,822.669
74.237,158.651,7.650,822.690
74.237,150.071,7.650,822.959
74.919,150.071,7.650,822.981
74.919,135.071,7.650,823.451
80.781,135.071,7.650,823.635
80.781,150.011,7.650,824.103
80.831,150.468,7.650,824.103
79.461,165.564,7.650,824.103
78.864,166.161,7.650,824.130
78.328,166.161,7.650,824.147
79.292,165.198,7.650,824.190
79.292,164.662,7.650,824.207
77.792,166.161,7.650,824.273
77.256,166.161,7.650,824.290
79.292,164.126,7.650,824.381
79.292,163.590,7.650,824.398
76.720,166.161,7.650,824.513
76.408,166.161,7.650,824.522
76.408,165.937,7.650,824.529
79.292,163.054,7.650,824.658
79.292,162.517,7.650,824.675
76.408,165.401,7.650,824.803
76.408,164.864,7.650,824.820
79.292,161.981,7.650,824.949
79.292,161.445,7.650,824.966
76.408,164.328,7.650,825.094
76.408,163.792,7.650,825.111
79.292,160.909,7.650,825.240
79.292,160.373,7.650,825.257
76.408,163.256,7.650,825.385
76.408,162.720,7.650,825.402
79.292,159.837,7.650,825.530
79.292,159.301,7.650,825.547
76.408,162.184,7.650,825.676
76.408,161.648,7.650,825.693
79.292,158.765,7.650,825.821
79.292,158.229,7.650,825.838
76.408,161.112,7.650,825.967
76.408,160.576,7.650,825.984
79.292,157.693,7.650,826.112
79.292,157.161,7.650,826.129
79.823,157.161,7.650,826.146
79.974,157.010,7.650,826.152
79.974,156.474,7.650,826.169
76.408,160.040,7.650,826.328
76.408,159.503,7.650,826.345
79.974,155.938,7.650,826.504
79.974,155.402,7.650,826.521
76.408,158.967,7.650,826.680
76.408,158.431,7.650,826.697
79.974,154.866,7.650,826.856
79.974,154.330,7.650,826.873
76.408,157.895,7.650,827.032
76.408,157.359,7.650,827.048
79.974,153.794,7.650,827.207
79.974,153.258,7.650,827.224
76.070,157.161,7.650,827.398
75.726,157.161,7.650,827.409
75.726,156.969,7.650,827.415
79.974,152.722,7.650,827.605
79.974,152.185,7.650,827.621
75.726,156.433,7.650,827.811
75.726,155.897,7.650,827.828
79.974,151.649,7.650,828.017
79.974,151.560,7.650,828.020
79.527,151.560,7.650,828.034
75.726,155.361,7.650,828.203
75.726,154.825,7.650,828.220
79.292,151.259,7.650,828.379
79.292,150.723,7.650,828.396
75.726,154.288,7.650,828.555
75.726,153.752,7.650,828.572
79.292,150.187,7.650,828.731
79.292,149.651,7.650,828.748
75.726,153.216,7.650,828.907
75.726,152.680,7.650,828.924
79.292,149.115,7.650,829.082
79.292,148.579,7.650,829.099
75.726,152.144,7.650,829.258
75.726,151.608,7.650,829.275
75.944,151.390,7.650,829.285
76.239,151.095,7.650,829.285
79.292,148.043,7.650,829.421
79.292,147.507,7.650,829.438
76.408,150.390,7.650,829.566
76.408,149.854,7.650,829.583
79.292,146.971,7.650,829.712
79.292,146.434,7.650,829.729
76.408,149.318,7.650,829.857
76.408,148.781,7.650,829.874
79.292,145.898,7.650,830.003
79.292,145.362,7.650,830.020
76.408,148.245,7.650,830.148
76.408,147.709,7.650,830.165
79.292,144.826,7.650,830.293
79.292,144.290,7.650,830.310
76.408,147.173,7.650,830.439
76.408,146.637,7.650,830.456
79.292,143.754,7.650,830.584
79.292,143.218,7.650,830.601
76.408,146.101,7.650,830.730
76.408,145.565,7.650,830.747
79.292,142.682,7.650,830.875
79.292,142.146,7.650,830.892
76.408,145.029,7.650,831.021
76.408,144.493,7.650,831.037
79.292,141.610,7.650,831.166
79.292,141.073,7.650,831.183
76.408,143.956,7.650,831.311
76.408,143.420,7.650,831.328
79.292,140.537,7.650,831.457
79.292,140.001,7.650,831.474
76.408,142.884,7.650,831.602
76.408,142.348,7.650,831.619
79.292,139.465,7.650,831.748
79.292,138.929,7.650,831.765
76.408,141.812,7.650,831.893
76.408,141.276,7.650,831.910
79.292,138.393,7.650,832.039
79.292,137.857,7.650,832.055
76.408,140.740,7.650,832.184
76.408,140.204,7.650,832.201
79.292,137.321,7.650,832.329
79.292,136.785,7.650,832.346
76.408,139.668,7.650,832.475
76.408,139.132,7.650,832.492
78.980,136.560,7.650,832.606
78.444,136.560,7.650,832.623
76.408,138.595,7.650,832.714
76.408,138.059,7.650,832.731
77.908,136.560,7.650,832.798
77.372,136.560,7.650,832.815
76.408,137.523,7.650,832.857
76.408,136.987,7.650,832.874
77.005,136.390,7.650,832.901
77.005,136.390,7.650,829.401
76.408,136.987,7.650,829.000
76.408,137.523,7.650,828.745
77.372,136.560,7.650,828.099
77.630,136.560,7.650,827.976
77.630,136.560,7.650,827.901
77.630,136.560,7.850,827.901
79.534,151.202,7.850,827.901
79.534,151.202,7.850,832.901
80.154,151.202,7.850,832.920
80.154,157.519,7.850,833.119
79.534,157.519,7.850,833.138
79.534,166.519,7.850,833.420
76.166,166.519,7.850,833.526
76.166,157.519,7.850,833.808
75.546,157.519,7.850,833.827
75.546,151.202,7.850,834.025
76.166,151.202,7.850,834.045
76.166,136.202,7.850,834.515
79.534,136.202,7.850,834.621
79.534,151.142,7.850,835.089
79.911,150.825,7.850,835.089
80.531,150.825,7.850,835.109
80.531,157.897,7.850,835.330
79.911,157.897,7.850,835.350
79.911,166.897,7.850,835.632
75.789,166.897,7.850,835.761
75.789,157.897,7.850,836.043
75.169,157.897,7.850,836.063
75.169,150.825,7.850,836.285
75.789,150.825,7.850,836.304
75.789,135.825,7.850,836.774
79.911,135.825,7.850,836.904
79.911,150.765,7.850,837.372
80.288,150.448,7.850,837.372
80.908,150.448,7.850,837.392
80.908,158.274,7.850,837.637
80.288,158.274,7.850,837.656
80.288,167.274,7.850,837.938
75.412,167.274,7.850,838.091
75.412,158.274,7.850,838.374
74.792,158.274,7.850,838.393
74.792,150.448,7.850,838.638
75.412,150.448,7.850,838.658
75.412,135.448,7.850,839.128
80.288,135.448,7.850,839.281
80.288,150.388,7.850,839.749
80.666,150.071,7.850,839.749
81.285,150.071,7.850,839.769
81.285,158.651,7.850,840.038
80.666,158.651,7.850,840.057
80.666,167.651,7.850,840.340
75.034,167.651,7.850,840.516
75.034,158.651,7.850,840.798
74.415,158.651,7.850,840.818
74.415,150.071,7.850,841.087
75.034,150.071,7.850,841.106
75.034,135.071,7.850,841.576
80.666,135.071,7.850,841.753
80.666,150.011,7.850,842.221
80.713,150.468,7.850,842.221
79.346,137.164,7.850,842.221
78.741,136.560,7.850,842.249
78.200,136.560,7.850,842.266
79.176,137.536,7.850,842.310
79.176,138.077,7.850,842.327
77.659,136.560,7.850,842.395
77.118,136.560,7.850,842.412
79.176,138.618,7.850,842.505
79.176,139.159,7.850,842.522
76.577,136.560,7.850,842.639
76.524,136.560,7.850,842.641
76.524,137.048,7.850,842.656
79.176,139.700,7.850,842.776
79.176,140.241,7.850,842.793
76.524,137.589,7.850,842.912
76.524,138.130,7.850,842.930
79.176,140.783,7.850,843.049
79.176,141.324,7.850,843.066
76.524,138.671,7.850,843.185
76.524,139.213,7.850,843.203
79.176,141.865,7.850,843.322
79.176,142.406,7.850,843.339
76.524,139.754,7.850,843.459
76.524,140.295,7.850,843.476
79.176,142.947,7.850,843.595
79.176,143.488,7.850,843.612
76.524,140.836,7.850,843.732
76.524,141.377,7.850,843.749
79.176,144.029,7.850,843.868
79.176,144.570,7.850,843.885
76.524,141.918,7.850,844.005
76.524,142.459,7.850,844.022
79.176,145.111,7.850,844.141
79.176,145.652,7.850,844.158
76.524,143.000,7.850,844.278
76.524,143.541,7.850,844.295
79.176,146.194,7.850,844.414
79.176,146.735,7.850,844.432
76.524,144.083,7.850,844.551
76.524,144.624,7.850,844.568
79.176,147.276,7.850,844.687
79.176,147.817,7.850,844.705
76.524,145.165,7.850,844.824
76.524,145.706,7.850,844.841
79.176,148.358,7.850,844.961
79.176,148.899,7.850,844.978
76.524,146.247,7.850,845.097
76.524,146.788,7.850,845.114
79.176,149.440,7.850,845.234
79.176,149.981,7.850,845.251
76.524,147.329,7.850,845.370
76.524,147.870,7.850,845.387
79.346,150.692,7.850,845.514
79.966,151.853,7.850,845.514
79.673,151.560,7.850,845.528
79.176,151.560,7.850,845.543
79.176,151.063,7.850,845.559
76.524,148.411,7.850,845.679
76.524,148.952,7.850,845.696
79.796,152.224,7.850,845.843
79.796,152.765,7.850,845.860
76.524,149.494,7.850,846.007
76.524,150.035,7.850,846.025
79.796,153.307,7.850,846.172
79.796,153.848,7.850,846.189
76.524,150.576,7.850,846.336
76.524,151.117,7.850,846.353
79.796,154.389,7.850,846.501
79.796,154.930,7.850,846.518
76.426,151.560,7.850,846.669
75.904,151.560,7.850,846.686
75.904,151.579,7.850,846.687
79.796,155.471,7.850,846.862
79.796,156.012,7.850,846.879
75.904,152.120,7.850,847.054
75.904,152.662,7.850,847.071
79.796,156.553,7.850,847.246
79.796,157.094,7.850,847.264
75.904,153.203,7.850,847.439
75.904,153.744,7.850,847.456
79.322,157.161,7.850,847.610
79.176,157.161,7.850,847.614
79.176,157.557,7.850,847.627
75.904,154.285,7.850,847.774
75.904,154.826,7.850,847.791
79.176,158.098,7.850,847.939
79.176,158.639,7.850,847.956
75.904,155.367,7.850,848.103
75.904,155.908,7.850,848.120
79.176,159.180,7.850,848.267
79.176,159.721,7.850,848.285
75.904,156.449,7.850,848.432
75.904,156.990,7.850,848.449
76.075,157.161,7.850,848.457
76.524,157.161,7.850,848.471
76.524,157.610,7.850,848.485
79.176,160.262,7.850,848.605
79.176,160.803,7.850,848.622
76.524,158.151,7.850,848.741
76.524,158.692,7.850,848.758
79.176,161.344,7.850,848.878
79.176,161.886,7.850,848.895
76.524,159.233,7.850,849.014
76.524,159.775,7.850,849.032
79.176,162.427,7.850,849.151
79.176,162.968,7.850,849.168
76.524,160.316,7.850,849.287
76.524,160.857,7.850,849.305
79.176,163.509,7.850,849.424
79.176,164.050,7.850,849.441
76.524,161.398,7.850,849.561
76.524,161.939,7.850,849.578
79.176,164.591,7.850,849.697
79.176,165.132,7.850,849.714
76.524,162.480,7.850,849.834
76.524,163.021,7.850,849.851
79.176,165.673,7.850,849.970
79.176,166.161,7.850,849.986
79.123,166.161,7.850,849.987
76.524,163.562,7.850,850.104
76.524,164.103,7.850,850.122
78.582,166.161,7.850,850.214
78.041,166.161,7.850,850.231
76.524,164.644,7.850,850.300
76.524,165.186,7.850,850.317
77.500,166.161,7.850,850.361
76.958,166.161,7.850,850.378
76.354,165.557,7.850,850.405
76.354,165.557,7.850,846.905
76.958,166.161,7.850,846.499
77.500,166.161,7.850,846.242
76.524,165.186,7.850,845.587
76.524,164.961,7.850,845.480
76.524,164.961,7.850,845.405
76.524,164.961,8.050,845.405
79.419,151.202,8.050,845.405
79.419,151.202,8.050,850.405
79.955,151.202,8.050,850.422
79.955,157.519,8.050,850.620
79.419,157.519,8.050,850.637
79.419,166.519,8.050,850.919
76.281,166.519,8.050,851.017
76.281,157.519,8.050,851.300
75.745,157.519,8.050,851.316
75.745,151.202,8.050,851.515
76.281,151.202,8.050,851.531
76.281,136.202,8.050,852.002
79.419,136.202,8.050,852.100
79.419,151.142,8.050,852.568
79.796,150.825,8.050,852.568
80.332,150.825,8.050,852.585
80.332,157.897,8.050,852.807
79.796,157.897,8.050,852.824
79.796,166.897,8.050,853.106
75.904,166.897,8.050,853.228
75.904,157.897,8.050,853.510
75.367,157.897,8.050,853.527
75.367,150.825,8.050,853.749
75.904,150.825,8.050,853.766
75.904,135.825,8.050,854.236
79.796,135.825,8.050,854.358
79.796,150.765,8.050,854.826
80.173,150.448,8.050,854.826
80.710,150.448,8.050,854.843
80.710,158.274,8.050,855.089
80.173,158.274,8.050,855.105
80.173,167.274,8.050,855.388
75.527,167.274,8.050,855.533
75.527,158.274,8.050,855.815
74.990,158.274,8.050,855.832
74.990,150.448,8.050,856.078
75.527,150.448,8.050,856.094
75.527,135.448,8.050,856.565
80.173,135.448,8.050,856.710
80.173,150.388,8.050,857.179
80.550,150.071,8.050,857.179
81.087,150.071,8.050,857.196
81.087,158.651,8.050,857.465
80.550,158.651,8.050,857.482
80.550,167.651,8.050,857.764
75.150,167.651,8.050,857.933
75.150,158.651,8.050,858.215
74.613,158.651,8.050,858.232
74.613,150.071,8.050,858.501
75.150,150.071,8.050,858.518
75.150,135.071,8.050,858.988
80.550,135.071,8.050,859.158
80.550,150.011,8.050,859.626
80.596,150.468,8.050,859.626
79.230,165.563,8.050,859.626
78.632,166.161,8.050,859.653
78.094,166.161,8.050,859.670
79.061,165.195,8.050,859.713
79.061,164.658,8.050,859.730
77.557,166.161,8.050,859.797
77.020,166.161,8.050,859.814
79.061,164.120,8.050,859.905
79.061,163.583,8.050,859.922
76.639,166.004,8.050,860.030
76.639,165.467,8.050,860.047
79.061,163.046,8.050,860.155
79.061,162.508,8.050,860.172
76.639,164.930,8.050,860.281
76.639,164.392,8.050,860.298
79.061,161.971,8.050,860.406
79.061,161.434,8.050,860.423
76.639,163.855,8.050,860.531
76.639,163.318,8.050,860.548
79.061,160.896,8.050,860.656
79.061,160.359,8.050,860.673
76.639,162.780,8.050,860.781
76.639,162.243,8.050,860.798
79.061,159.822,8.050,860.906
79.061,159.284,8.050,860.923
76.639,161.706,8.050,861.032
76.639,161.168,8.050,861.049
79.061,158.747,8.050,861.157
79.061,158.210,8.050,861.174
76.639,160.631,8.050,861.282
76.639,160.094,8.050,861.299
79.061,157.672,8.050,861.407
79.061,157.161,8.050,861.423
79.572,157.161,8.050,861.439
79.597,157.136,8.050,861.441
79.597,156.599,8.050,861.457
76.639,159.556,8.050,861.590
76.639,159.019,8.050,861.607
79.597,156.061,8.050,861.739
79.597,155.524,8.050,861.756
76.639,158.482,8.050,861.888
76.639,157.944,8.050,861.905
79.597,154.987,8.050,862.037
79.597,154.449,8.050,862.054
76.639,157.407,8.050,862.186
76.639,157.161,8.050,862.194
76.348,157.161,8.050,862.203
79.597,153.912,8.050,862.348
79.597,153.375,8.050,862.365
76.103,156.869,8.050,862.521
76.103,156.332,8.050,862.538
79.597,152.837,8.050,862.695
79.597,152.300,8.050,862.711
76.103,155.794,8.050,862.868
76.103,155.257,8.050,862.885
79.597,151.763,8.050,863.041
79.597,151.560,8.050,863.047
79.262,151.560,8.050,863.058
76.103,154.720,8.050,863.199
76.103,154.182,8.050,863.216
79.061,151.225,8.050,863.348
79.061,150.687,8.050,863.365
76.103,153.645,8.050,863.497
76.103,153.108,8.050,863.514
79.061,150.150,8.050,863.646
79.061,149.613,8.050,863.663
76.103,152.571,8.050,863.795
76.103,152.033,8.050,863.812
79.061,149.075,8.050,863.945
79.061,148.538,8.050,863.961
76.639,150.959,8.050,864.070
76.639,150.422,8.050,864.087
79.061,148.001,8.050,864.195
79.061,147.463,8.050,864.212
76.639,149.885,8.050,864.320
76.639,149.347,8.050,864.337
79.061,146.926,8.050,864.445
79.061,146.389,8.050,864.462
76.639,148.810,8.050,864.570
76.639,148.273,8.050,864.587
79.061,145.851,8.050,864.695
79.061,145.314,8.050,864.712
76.639,147.735,8.050,864.821
76.639,147.198,8.050,864.838
79.061,144.777,8.050,864.946
79.061,144.240,8.050,864.963
76.639,146.661,8.050,865.071
76.639,146.123,8.050,865.088
79.061,143.702,8.050,865.196
79.061,143.165,8.050,865.213
76.639,145.586,8.050,865.321
76.639,145.049,8.050,865.338
79.061,142.628,8.050,865.446
79.061,142.090,8.050,865.463
76.639,144.511,8.050,865.572
76.639,143.974,8.050,865.589
79.061,141.553,8.050,865.697
79.061,141.016,8.050,865.714
76.639,143.437,8.050,865.822
76.639,142.900,8.050,865.839
79.061,140.478,8.050,865.947
79.061,139.941,8.050,865.964
76.639,142.362,8.050,866.072
76.639,141.825,8.050,866.089
79.061,139.404,8.050,866.197
79.061,138.866,8.050,866.214
76.639,141.288,8.050,866.323
76.639,140.750,8.050,866.340
79.061,138.329,8.050,866.448
79.061,137.792,8.050,866.465
76.639,140.213,8.050,866.573
76.639,139.676,8.050,866.590
79.061,137.254,8.050,866.698
79.061,136.717,8.050,866.715
76.639,139.138,8.050,866.823
76.639,138.601,8.050,866.840
78.680,136.560,8.050,866.931
78.143,136.560,8.050,866.948
76.639,138.064,8.050,867.015
76.639,137.526,8.050,867.032
77.606,136.560,8.050,867.076
77.068,136.560,8.050,867.093
76.470,137.159,8.050,867.119
76.470,137.159,8.050,863.619
77.068,136.560,8.050,863.217
77.606,136.560,8.050,862.962
76.639,137.526,8.050,862.313
76.639,137.776,8.050,862.194
76.639,137.776,8.050,862.119
76.639,137.776,8.250,862.119
79.303,151.202,8.250,862.119
79.303,151.202,8.250,867.119
79.732,151.202,8.250,867.133
79.732,157.519,8.250,867.331
79.303,157.519,8.250,867.344
79.303,166.519,8.250,867.627
76.397,166.519,8.250,867.718
76.397,157.519,8.250,868.000
75.968,157.519,8.250,868.013
75.968,151.202,8.250,868.211
76.397,151.202,8.250,868.225
76.397,136.202,8.250,868.695
79.303,136.202,8.250,868.786
79.303,151.142,8.250,869.255
79.680,150.825,8.250,869.255
80.110,150.825,8.250,869.268
80.110,157.897,8.250,869.490
79.680,157.897,8.250,869.503
79.680,166.897,8.250,869.786
76.020,166.897,8.250,869.900
76.020,157.897,8.250,870.183
75.590,157.897,8.250,870.196
75.590,150.825,8.250,870.418
76.020,150.825,8.250,870.431
76.020,135.825,8.250,870.901
79.680,135.825,8.250,871.016
79.680,150.765,8.250,871.485
80.058,150.448,8.250,871.485
80.487,150.448,8.250,871.498
80.487,158.274,8.250,871.743
80.058,158.274,8.250,871.757
80.058,167.274,8.250,872.039
75.642,167.274,8.250,872.178
75.642,158.274,8.250,872.460
75.213,158.274,8.250,872.473
75.213,150.448,8.250,872.719
75.642,150.448,8.250,872.732
75.642,135.448,8.250,873.202
80.058,135.448,8.250,873.341
80.058,150.388,8.250,873.809
80.435,150.071,8.250,873.809
80.864,150.071,8.250,873.823
80.864,158.651,8.250,874.092
80.435,158.651,8.250,874.105
80.435,167.651,8.250,874.387
75.265,167.651,8.250,874.549
75.265,158.651,8.250,874.832
74.836,158.651,8.250,874.845
74.836,150.071,8.250,875.114
75.265,150.071,8.250,875.127
75.265,135.071,8.250,875.598
80.435,135.071,8.250,875.760
80.435,150.011,8.250,876.228
80.479,150.468,8.250,876.228
79.115,137.153,8.250,876.228
78.522,136.560,8.250,876.255
77.988,136.560,8.250,876.271
78.945,137.517,8.250,876.314
78.945,138.050,8.250,876.331
77.455,136.560,8.250,876.397
76.921,136.560,8.250,876.413
78.945,138.584,8.250,876.503
78.945,139.118,8.250,876.520
76.755,136.927,8.250,876.617
76.755,137.461,8.250,876.634
78.945,139.651,8.250,876.731
78.945,140.185,8.250,876.748
76.755,137.994,8.250,876.845
76.755,138.528,8.250,876.862
78.945,140.718,8.250,876.959
78.945,141.252,8.250,876.976
76.755,139.061,8.250,877.073
76.755,139.595,8.250,877.089
78.945,141.785,8.250,877.187
78.945,142.319,8.250,877.203
76.755,140.128,8.250,877.301
76.755,140.662,8.250,877.317
78.945,142.852,8.250,877.414
78.945,143.386,8.250,877.431
76.755,141.196,8.250,877.528
76.755,141.729,8.250,877.545
78.945,143.919,8.250,877.642
78.945,144.453,8.250,877.659
76.755,142.263,8.250,877.756
76.755,142.796,8.250,877.773
78.945,144.986,8.250,877.870
78.945,145.520,8.250,877.887
76.755,143.330,8.250,877.984
76.755,143.863,8.250,878.001
78.945,146.053,8.250,878.098
78.945,146.587,8.250,878.115
76.755,144.397,8.250,878.212
76.755,144.930,8.250,878.229
78.945,147.121,8.250,878.326
78.945,147.654,8.250,878.342
76.755,145.464,8.250,878.440
76.755,145.997,8.250,878.456
78.945,148.188,8.250,878.554
78.945,148.721,8.250,878.570
76.755,146.531,8.250,878.667
76.755,147.064,8.250,878.684
78.945,149.255,8.250,878.781
78.945,149.788,8.250,878.798
76.755,147.598,8.250,878.895
76.755,148.131,8.250,878.912
78.945,150.322,8.250,879.009
78.945,150.855,8.250,879.026
76.755,148.665,8.250,879.123
76.755,149.199,8.250,879.140
79.374,151.818,8.250,879.256
79.374,152.351,8.250,879.273
76.755,149.732,8.250,879.389
76.755,150.266,8.250,879.406
79.374,152.885,8.250,879.522
79.374,153.418,8.250,879.539
76.755,150.799,8.250,879.655
76.755,151.333,8.250,879.672
79.374,153.952,8.250,879.788
79.374,154.486,8.250,879.805
76.449,151.560,8.250,879.934
76.326,151.560,8.250,879.938
76.326,151.971,8.250,879.951
79.374,155.019,8.250,880.086
79.374,155.553,8.250,880.103
76.326,152.504,8.250,880.238
76.326,153.038,8.250,880.255
79.374,156.086,8.250,880.390
79.374,156.620,8.250,880.407
76.326,153.571,8.250,880.542
76.326,154.105,8.250,880.559
79.374,157.153,8.250,880.694
78.945,157.161,8.250,880.708
78.945,157.258,8.250,880.711
76.326,154.638,8.250,880.827
76.326,155.172,8.250,880.844
78.945,157.791,8.250,880.960
78.945,158.325,8.250,880.977
